infinitive,third_person_singular,past,present_participle,past_participle
sangaree,sangarees,sangareed,sangareeing,sangareed
hev,hes,hed,heving,hed
redespatch,redespatches,redespatched,redespatching,redespatched
press,presses,prest,pressing,prest
merrilly,merrillies,merrillied,merrillying,merrillied
marcel,marcels,marcelled,marcelling,marcelled
unapply,unapplies,unapplied,unapplying,unapplied
unweb,unwebs,unwebbed,unwebbing,unwebbed
flabergast,flabergasts,flabergasted,flabergasting,flabergast
bulldag,bulldags,bulldagged,bulldagging,bulldagged
reresearch,reresearches,reresearched,reresearching,reresearched
uptie,upties,uptied,uptying,uptied
pamp,pamps,pamped,pamping,pamped
silage,silages,silaged,silageing,silaged
lawnmow,lawnmows,lawnmowed,lawnmowing,lawnmown
befreeze,befreezes,befroze,befreezing,befrozen
fresco,frescoes,frescoed,frescoing,frescoed
retrotransfer,retrotransfers,retrotransferred,retrotransferring,retrotransferred
whet,whets,whet,whetting,whet
unhunch,unhunches,unhunched,unhunching,unhunched
cryogrind,cryogrinds,cryoground,cryogrinding,cryoground
inknit,inknits,inknitted,inknitting,inknitted
curmur,curmurs,curmurred,curmurring,curmurred
demur,demurs,demurred,demurring,demurred
see,sees,saw,seeing,seen
ante,antes,anteed,anteing,anteed
disacidify,disacidifies,disacidified,disacidifying,disacidified
subgroup,subgroups,subgrouped,subgrouping,subgrouped
uplight,uplights,uplit,uplighting,uplit
appropry,appropries,appropried,approprying,appropried
reundercut,reundercuts,reundercut,reundercutting,reundercut
forefeel,forefeels,forefelt,forefeeling,forefelt
easify,easifies,easified,easifying,easified
devil,devils,devilled,devilling,devilled
requalify,requalifies,requalified,requalifying,requalified
prestudy,prestudies,prestudied,prestudying,prestudied
cherch,cherches,cherched,cherching,cherched
tumefy,tumefies,tumefied,tumefying,tumefied
toe,toes,toed,toeing,toed
tropify,tropifies,tropified,tropifying,tropified
sing,sings,sang,singing,sung
chivvy,chivvies,chivvied,chivvying,chivvied
misrectify,misrectifies,misrectified,misrectifying,misrectified
sally,sallies,sallied,sallying,sallied
echo,echoes,echoed,echoing,echoed
halo,haloes,haloed,haloing,haloed
thaify,thaifies,thaified,thaifying,thaified
mercify,mercifies,mercified,mercifying,mercified
xbreed,xbreeds,xbred,xbreeding,xbred
overcommit,overcommits,overcommitted,overcommitting,overcommitted
caddie,caddies,caddied,caddieing,caddied
defuzzify,defuzzifies,defuzzified,defuzzifying,defuzzified
outsend,outsends,outsent,outsending,outsent
jazzify,jazzifies,jazzified,jazzifying,jazzified
outset,outsets,outset,outsetting,outset
speechify,speechifies,speechified,speechifying,speechified
barkeep,barkeeps,barkeeped,barkeeping,barkeeped
upclimb,upclimbs,upclomb,upclimbing,upclomb
prespecify,prespecifies,prespecified,prespecifying,prespecified
deal,deals,dealt,dealing,dealt
gaf,gaf,gaf,gaf,gaf
vag,vags,vagged,vagging,vagged
routemarch,routemarches,routemarched,routemarching,routemarched
rivet,rivets,rivetted,rivetting,rivetted
instar,instars,instarred,instarring,instarred
retrocue,retrocues,retrocued,retrocueing,retrocued
deaggro,deaggroes,deaggroed,deaggroing,deaggroed
precommit,precommits,precommitted,precommitting,precommitted
hem,hems,hemmed,hemming,hemmed
eavesread,eavesreads,eavesread,eavesreading,eavesread
forthbear,forthbears,forthbore,forthbearing,forthborne
scree,screes,screed,screeing,screed
forthlead,forthleads,forthled,forthleading,forthled
regrow,regrows,regrew,regrowing,regrown
bedim,bedims,bedimmed,bedimming,bedimmed
dummify,dummifies,dummified,dummifying,dummified
earplug,earplugs,earplugged,earplugging,earplugged
overput,overputs,overput,overputting,overput
boxcar,boxcars,boxcarred,boxcarring,boxcarred
ziptie,zipties,ziptied,ziptying,ziptied
voteban,votebans,votebanned,votebanning,votebanned
sie,sies,sied,sying,sied
sam,sams,sammed,samming,sammed
shend,shends,shent,shending,shent
descum,descums,descummed,descumming,descummed
ensonify,ensonifies,ensonified,ensonifying,ensonified
forelend,forelends,forelent,forelending,forelent
demucify,demucifies,demucified,demucifying,demucified
toboggan,toboggans,tobogganned,tobogganning,tobogganned
ghetto,ghettoes,ghettoed,ghettoing,ghettoed
degreenify,degreenifies,degreenified,degreenifying,degreenified
overman,overmans,overmanned,overmanning,overmanned
refret,refrets,refretted,refretting,refretted
overbusy,overbusies,overbusied,overbusying,overbusied
prebatch,prebatches,prebatched,prebatching,prebatched
outmarry,outmarries,outmarried,outmarrying,outmarried
indrench,indrenches,indrenched,indrenching,indrenched
dib,dibs,dibbed,dibbing,dibbed
unmarry,unmarries,unmarried,unmarrying,unmarried
rowel,rowels,rowelled,rowelling,rowelled
outprogram,outprograms,outprogrammed,outprogramming,outprogrammed
glycodiversify,glycodiversifies,glycodiversified,glycodiversifying,glycodiversified
redecree,redecrees,redecreed,redecreeing,redecreed
radiolabel,radiolabels,radiolabelled,radiolabelling,radiolabelled
emblanch,emblanches,emblanched,emblanching,emblanched
huckleberry,huckleberries,huckleberried,huckleberrying,huckleberried
frog,frogs,frogged,frogging,frogged
sparkplug,sparkplugs,sparkplugged,sparkplugging,sparkplugged
rag,rags,ragged,ragging,ragged
astony,astonies,astonied,astonying,astonied
alibi,alibies,alibied,alibiing,alibied
upgun,upguns,upgunned,upgunning,upgunned
scag,scags,scagged,scagging,scagged
rarefy,rarefies,rarefied,rarefying,rarefied
reshoe,reshoes,reshod,reshoeing,reshod
prenotify,prenotifies,prenotified,prenotifying,prenotified
overspend,overspends,overspent,overspending,overspent
mistransmit,mistransmits,mistransmitted,mistransmitting,mistransmitted
quelch,quelches,quelched,quelching,quelched
repartake,repartakes,repartook,repartaking,repartaken
codeswitch,codeswitches,codeswitched,codeswitching,codeswitched
benet,benets,benetted,benetting,benetted
unify,unifies,unified,unifying,unified
census,censusses,censussed,censussing,censussed
yawp,yawps,yawped,yawping,yawped
overram,overrams,overrammed,overramming,overrammed
betty,betties,bettied,bettying,bettied
neap,neaps,neaped,neaping,neaped
gym,gyms,gymmed,gymming,gymmed
swell,swells,swoll,swelling,swelled
bespread,bespreads,bespread,bespreading,bespread
overtan,overtans,overtanned,overtanning,overtanned
spit,spits,spitted,spitting,spitted
portal,portals,portalled,portalling,portalled
miseat,miseats,misate,miseating,miseaten
intrench,intrenches,intrenched,intrenching,intrenched
forecaddie,forecaddies,forecaddied,forecaddying,forecaddied
inch,inches,inched,inching,inched
unkeg,unkegs,unkegged,unkegging,unkegged
reuptake,reuptakes,reuptook,reuptaking,reuptaken
bemar,bemars,bemarred,bemarring,bemarred
declog,declogs,declogged,declogging,declogged
cramp,cramps,cramped,cramping,cramped
guarantee,guarantees,guaranteed,guaranteeing,guaranteed
fid,fids,fidded,fidding,fidded
missend,missends,missent,missending,missent
ganch,ganches,ganched,ganching,ganched
lunge,lunges,lunged,lungeing,lunged
rig,rigs,rigged,rigging,rigged
bat,bats,batted,batting,batted
jerky,jerkies,jerkied,jerkying,jerkied
outrive,outrives,outrove,outriving,outriven
boogy,boogies,boogied,boogying,boogied
sgraffito,sgraffitoes,sgraffitoed,sgraffitoing,sgraffitoed
imp,imps,imped,imping,imped
inhoop,inhoops,inhooped,inhooping,inhooped
ratch,ratches,ratched,ratching,ratched
requantify,requantifies,requantified,requantifying,requantified
uprun,upruns,upran,uprunning,uprun
lie,lies,lay,lying,lain
remultiply,remultiplies,remultiplied,remultiplying,remultiplied
overbite,overbites,overbit,overbiting,overbitten
peg,pegs,pegged,pegging,pegged
groop,groops,grooped,grooping,grooped
mimp,mimps,mimped,mimping,mimped
undersay,undersays,undersaid,undersaying,undersaid
miskeep,miskeeps,miskept,miskeeping,miskept
reshake,reshakes,reshook,reshaking,reshaken
viddy,viddies,viddied,viddying,viddied
haz,haz,hazed,hazing,hazed
crow,crows,crew,crowing,crowed
unknot,unknots,unknotted,unknotting,unknotted
iconify,iconifies,iconified,iconifying,iconified
unswear,unswears,unswore,unswearing,unsworn
bewit,bewits,bewitted,bewitting,bewitted
prepatch,prepatches,prepatched,prepatching,prepatched
red,reds,redded,redding,redded
inbring,inbrings,inbrought,inbringing,inbrought
debind,debinds,debound,debinding,debound
battel,battels,battelled,battelling,battelled
resanctify,resanctifies,resanctified,resanctifying,resanctified
beseeke,beseekes,besoughte,beseeking,besoughte
preacidify,preacidifies,preacidified,preacidifying,preacidified
slingshoot,slingshoots,slingshot,slingshooting,slingshotten
disimpeach,disimpeaches,disimpeached,disimpeaching,disimpeached
unfortify,unfortifies,unfortified,unfortifying,unfortified
absurdify,absurdifies,absurdified,absurdifying,absurdified
overclassify,overclassifies,overclassified,overclassifying,overclassified
costar,costars,costarred,costarring,costarred
outslide,outslides,outslid,outsliding,outslid
forlat,forlats,forlut,forlatting,forlutten
quad,quads,quadded,quadding,quadded
crie,cries,cried,crying,cried
debauch,debauches,debauched,debauching,debauched
untell,untells,untold,untelling,untold
upbrim,upbrims,upbrimmed,upbrimming,upbrimmed
syrup,syrups,syruped,syruping,syruped
candify,candifies,candified,candifying,candified
minicab,minicabs,minicabbed,minicabbing,minicabbed
bedaff,bedaffs,bedaffed,bedaffing,bedaft
deathmatch,deathmatches,deathmatched,deathmatching,deathmatched
shabby,shabbies,shabbied,shabbying,shabbied
outspring,outsprings,outsprang,outspringing,outsprung
peach,peaches,peached,peaching,peached
mispump,mispumps,mispumped,mispumping,mispumped
codebug,codebugs,codebugged,codebugging,codebugged
undercommit,undercommits,undercommitted,undercommitting,undercommitted
noddify,noddifies,noddified,noddifying,noddified
forgo,forgoes,forwent,forgoing,forgone
puree,purees,pureed,pureeing,pureed
ply,plies,plied,plying,plied
foredraw,foredraws,foredrew,foredrawing,foredrawn
exemplify,exemplifies,exemplified,exemplifying,exemplified
rue,rues,rued,rueing,rued
rewind,rewinds,rewound,rewinding,rewound
prefog,prefogs,prefogged,prefogging,prefogged
backstitch,backstitches,backstitched,backstitching,backstitched
amp,amps,amped,amping,amped
sk,sks,sked,skg,sked
macadam,macadams,macadammed,macadamming,macadammed
squeegee,squeegees,squeegeed,squeegeeing,squeegeed
outspit,outspits,outspat,outspitting,outspat
rurn,rurns,rurnt,rurning,rurnt
understudy,understudies,understudied,understudying,understudied
coplot,coplots,coplotted,coplotting,coplotted
rehat,rehats,rehatted,rehatting,rehatted
reman,remans,remanned,remanning,remanned
mab,mabs,mabbed,mabbing,mabbed
succumb,succumbs,succame,succumbing,succame
perbreak,perbreaks,perbroke,perbreaking,perbroken
filagree,filagrees,filagreed,filagreeing,filagreed
reclog,reclogs,reclogged,reclogging,reclogged
oversew,oversews,oversewed,oversewing,oversewn
keep,keeps,kept,keeping,kept
bestem,bestems,bestemmed,bestemming,bestemmed
bump,bumps,bumped,bumping,bumped
gren,grens,grenned,grenning,grenned
sneb,snebs,snebbed,snebbing,snebbed
motel,motels,motelled,motelling,motelled
crutch,crutches,crutched,crutching,crutched
wog,wogs,wogged,wogging,wogged
atslip,atslips,atslope,atslipping,atslopen
forspread,forspreads,forspread,forspreading,forspread
misresearch,misresearches,misresearched,misresearching,misresearched
flyblow,flyblows,flyblew,flyblowing,flyblown
misbeat,misbeats,misbeat,misbeating,misbeaten
overdamp,overdamps,overdamped,overdamping,overdamped
sherrify,sherrifies,sherrified,sherrifying,sherrified
outbud,outbuds,outbudded,outbudding,outbudded
exemplifie,exemplifies,exemplified,exemplifying,exemplified
simplify,simplifies,simplified,simplifying,simplified
beach,beaches,beached,beaching,beached
skud,skuds,skudded,skudding,skudded
begab,begabs,begabbed,begabbing,begabbed
gig,gigs,gigged,gigging,gigged
linkify,linkifies,linkified,linkifying,linkified
outcoach,outcoaches,outcoached,outcoaching,outcoached
angel,angels,angelled,angelling,angelled
fuzzify,fuzzifies,fuzzified,fuzzifying,fuzzified
pratfall,pratfalls,pratfell,pratfalling,pratfallen
cookie,cookies,cookied,cookying,cookied
outplod,outplods,outplodded,outplodding,outplodded
upcut,upcuts,upcut,upcutting,upcut
desertify,desertifies,desertified,desertifying,desertified
befly,beflies,beflew,beflying,beflown
juzh,juzhes,juzhed,juzhing,juzhed
ftp,ftps,ftped,ftping,ftped
toffee,toffees,toffeed,toffeeing,toffeed
tic,tics,ticced,ticcing,ticced
abuy,abuys,abought,abuying,abought
quaere,quaeres,quaered,quaereing,quaered
panoply,panoplies,panoplied,panoplying,panoplied
unsin,unsins,unsinned,unsinning,unsinned
brat,brats,bratted,bratting,bratted
moleskin,moleskins,moleskinned,moleskinning,moleskinned
nig,nigs,nigged,nigging,nigged
misscan,misscans,misscanned,misscanning,misscanned
besew,besews,besewed,besewing,besewn
unenrol,unenrols,unenrolled,unenrolling,unenrolled
enlay,enlays,enlaid,enlaying,enlaid
overdub,overdubs,overdubbed,overdubbing,overdubbed
outscam,outscams,outscammed,outscamming,outscammed
blackify,blackifies,blackified,blackifying,blackified
dizzify,dizzifies,dizzified,dizzifying,dizzified
protocol,protocols,protocolled,protocolling,protocolled
overcoach,overcoaches,overcoached,overcoaching,overcoached
defer,defers,deferred,deferring,deferred
outbid,outbids,outbidded,outbidding,outbidded
profer,profers,proferred,proferring,proferred
miscue,miscues,miscued,miscueing,miscued
shazam,shazams,shazammed,shazamming,shazammed
restitch,restitches,restitched,restitching,restitched
snilch,snilches,snilched,snilching,snilched
unbias,unbiasses,unbiassed,unbiassing,unbiassed
bespit,bespits,bespit,bespitting,bespitted
showrun,showruns,showran,showrunning,showrun
reive,reives,reft,reiving,reft
respend,respends,respent,respending,respent
reinventory,reinventories,reinventoried,reinventorying,reinventoried
outstudy,outstudies,outstudied,outstudying,outstudied
unclump,unclumps,unclumped,unclumping,unclumped
becatch,becatches,becaught,becatching,becaught
dyslexify,dyslexifies,dyslexified,dyslexifying,dyslexified
cham,chams,chammed,chamming,chammed
die,dies,died,dying,died
swivel,swivels,swivelled,swivelling,swivelled
atsit,atsits,atseet,atsitting,atsitten
sickly,sicklies,sicklied,sicklying,sicklied
haircut,haircuts,haircutted,haircutting,haircutted
bedirty,bedirties,bedirtied,bedirtying,bedirtied
have,has,had,having,had
chauf,chaufs,chauffed,chauffing,chauffed
fordim,fordims,fordimmed,fordimming,fordimmed
undersleep,undersleeps,underslept,undersleeping,underslept
deplastify,deplastifies,deplastified,deplastifying,deplastified
flob,flobs,flobbed,flobbing,flobbed
teepee,teepees,teepeed,teepeeing,teepeed
lassu,lassues,lassued,lassuing,lassued
slashify,slashifies,slashified,slashifying,slashified
againstand,againstands,againstood,againstanding,againstood
prestretch,prestretches,prestretched,prestretching,prestretched
proofread,proofreads,proofread,proofreading,proofread
dowdy,dowdies,dowdied,dowdying,dowdied
hasp,hasps,hasped,hasping,hasped
outsit,outsits,outsat,outsitting,outsat
bedamp,bedamps,bedamped,bedamping,bedamped
lay,lays,laid,laying,laid
autovivify,autovivifies,autovivified,autovivifying,autovivified
gin,gins,ginned,ginning,ginned
kayo,kayoes,kayoed,kayoing,kayoed
restamp,restamps,restamped,restamping,restamped
forcefeed,forcefeeds,forcefed,forcefeeding,forcefed
curtsy,curtsies,curtsied,curtsying,curtsied
outbullshit,outbullshits,outbullshitted,outbullshitting,outbullshitted
bename,benames,benamed,benaming,benempt
misclassify,misclassifies,misclassified,misclassifying,misclassified
unpretty,unpretties,unprettied,unprettying,unprettied
levee,levees,leveed,leveeing,leveed
bust,busts,bust,busting,bust
temp,temps,temped,temping,temped
ruddy,ruddies,ruddied,ruddying,ruddied
cinch,cinches,cinched,cinching,cinched
dillydally,dillydallies,dillydallied,dillydallying,dillydallied
cloudify,cloudifies,cloudified,cloudifying,cloudified
bogotify,bogotifies,bogotified,bogotifying,bogotified
tak,taks,teuk,takkin,takken
snowshoe,snowshoes,snowshoed,snowshoeing,snowshoed
outgrow,outgrows,outgrew,outgrowing,outgrown
deacidify,deacidifies,deacidified,deacidifying,deacidified
forevouch,forevouches,forevouched,forevouching,forevouched
forworth,forworths,forword,forworthing,forworden
